City,Location
Pune,Bhuleshwar Temple
Pune,BAPS Shri Swaminarayan Mandir Pune
Pune,"Katraj Jain Temple, Aagam Mandir"
Pune,St. Patrick’s Cathedral
Pune,Prati Balaji Mandir
Pune,Bhimashankar Jyotirlinga
Pune,"Shree Sant Dnyaneshwar Maharaj Samadhi Mandir, Alandi"
Pune,Shree Mahaganapati Ranjangaon
Pune,"Shri Prati Shirdi Sai Baba Temple, Shirgaon"
Pune,Ramdara temple
Pune,Shree Chintamani Vinayaka Temple Theur
Pune,Pashan Lake
Pune,Osho Garden
Pune,Pune-Okayama Friendship Garden
Pune,Rajiv Gandhi Zoological Park
Pune,Empress Botanical Garden
Pune,Khadakwasla Dam
Pune,Taljai Hills
Pune,Vetal Hill
Pune,Mula Mutha River
Pune,Lavasa
Pune,Chhatrapati Sambhaji Maharaj garden
Rishikesh,Rishikesh bus station
Rishikesh,Jolly Grant Airport - Dehradun
Rishikesh,Railway station rishikesh
Rishikesh,Ram jhula
Rishikesh,Lakshman Jhula
